,level_0,index,up_count,down_count,total_count,polar_score,polarity
232,1425,가계/NNG;상환/NNG;부담/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
233,1428,위험/NNG;작/VA,12.0,19.0,31.0,0.5876291349718117,Dovish
234,1439,소비/NNG;활성화/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
235,1443,가계/NNG;부채/NNG;안정/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
236,1444,채권/NNG;살/VV,12.0,19.0,31.0,0.5876291349718117,Dovish
237,1445,원화/NNG;절하/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
238,1447,국채/NNG;가격/NNG;급락/NNG,12.0,18.0,30.0,0.6202751980258011,Dovish
239,1451,상환/NNG;부담/NNG;완화/NNG,12.0,15.0,27.0,0.7443302376309615,Dovish
240,1457,경제/NNG;활동/NNG;위축/NNG,12.0,18.0,30.0,0.6202751980258011,Dovish
241,1463,디폴트/NNG;우려/NNG,12.0,28.0,40.0,0.39874834158801503,Dovish
242,1469,수출/NNG;타격/NNG,12.0,33.0,45.0,0.33833192619589153,Dovish
243,1475,인하/NNG;부담/NNG,12.0,31.0,43.0,0.3601597924020781,Dovish
244,1479,원엔/NNG;환율/NNG;하락/NNG,12.0,23.0,35.0,0.48543276367236615,Dovish
245,1493,심리/NNG;훼손/NNG,12.0,23.0,35.0,0.48543276367236615,Dovish
246,1496,신용경색/NNG;완화/NNG,12.0,20.0,32.0,0.5582476782232211,Dovish
247,1501,낮/VA;성장/NNG,12.0,15.0,27.0,0.7443302376309615,Dovish
248,1504,실적/NNG;악화/NNG;우려/NNG,12.0,19.0,31.0,0.5876291349718117,Dovish
249,1508,마진/NNG;하락/NNG,12.0,15.0,27.0,0.7443302376309615,Dovish
250,1509,공급/NNG;과잉/NNG;우려/NNG,12.0,16.0,28.0,0.6978095977790263,Dovish
251,1520,공급/NNG;부담/NNG,11.0,19.0,30.0,0.5386600403908274,Dovish
252,1523,대출/NNG;위험/NNG,11.0,16.0,27.0,0.6396587979641075,Dovish
253,1525,수출/NNG;긍정적/VAX,11.0,21.0,32.0,0.48735908416312956,Dovish
254,1531,유동성/NNG;악화/NNG,11.0,16.0,27.0,0.6396587979641075,Dovish
255,1538,경제/NNG;체질/NNG;개선/NNG,11.0,19.0,30.0,0.5386600403908274,Dovish
256,1540,유동성/NNG;좋/VA,11.0,14.0,25.0,0.7310386262446943,Dovish
257,1549,높/VA;끝/NNG,11.0,20.0,31.0,0.511727038371286,Dovish
258,1555,가계/NNG;부채/NNG;악화/NNG,11.0,17.0,28.0,0.6020318098485719,Dovish
