* 통계표명 :,주택거래_연도별,,,,,,,,,,,,,,,,,
* 수록기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 조회기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:54:21,,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
지 역,,,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,진천군,,1264,1814,1814,1455,1232,2422,1345,1287,1565,1949,2806,2328,4433,1706,1836,1534
,괴산군,,350,321,341,481,416,440,459,477,514,684,574,724,517,573,655,43
,음성군,,1379,1696,2659,1460,1476,2706,2432,1837,3844,3032,2406,3321,2352,2489,2450,259
,단양군,,471,647,595,459,519,467,456,496,640,547,514,560,759,525,507,36
충남,,,49026,47930,59265,55072,52928,66707,56697,52691,67300,67654,63271,69652,63121,59495,84055,6080
,천안시,,16353,16724,17287,16250,19959,24517,19350,19515,24719,25044,23237,25889,25272,25536,32702,1901
,,동남구,-,-,4734,6756,7549,10223,8734,7555,10659,8818,5420,7804,8215,10041,12501,1127
,,서북구,-,-,6054,9494,12410,14294,10616,11960,14060,16226,17817,18085,17057,15495,20201,774
,공주시,,2058,1253,1351,2149,2404,3710,2452,2292,2007,1904,1783,2822,2513,1640,3511,204
,보령시,,1915,1601,1856,1836,1374,1758,1255,1956,1594,2183,1613,3465,1853,2049,2437,125
,아산시,,9110,7364,15163,12822,7915,14699,12273,9115,14465,12939,11494,16581,9132,12425,13084,1407
,서산시,,3363,4867,5630,3466,3677,4205,3644,4662,5450,6390,6531,6206,7236,3911,6377,580
,논산시,,996,1728,1587,1746,2660,1673,1516,2807,2386,2714,2116,2340,2551,2462,2477,149
,계룡시,,1391,1036,2115,1570,1597,1402,1065,857,831,843,1353,982,687,844,3212,105
,당진시,,-,-,-,-,-,-,4383,4265,5130,6146,5386,3374,5217,3088,8004,871
,금산군,,637,681,745,864,799,864,691,811,1163,1535,970,822,875,833,1766,79
,연기군,,2357,1599,2145,2688,2305,3402,2864,-,-,-,-,-,-,-,-,-
,부여군,,709,575,584,743,748,894,829,881,963,885,802,968,1435,968,1494,102
,서천군,,520,644,654,917,862,996,1020,973,1059,1062,929,918,1167,898,1188,85
,청양군,,306,527,217,229,230,249,394,298,471,353,370,360,338,384,431,25
,홍성군,,2063,1117,924,1711,1402,1125,2172,2050,3747,2964,4098,1764,1504,1626,2339,171
,예산군,,2147,1011,1860,1581,1219,1608,1684,1503,1438,1426,1213,1912,1874,1444,3208,149
,태안군,,929,708,992,828,682,1111,1105,706,1877,1266,1376,1249,1467,1387,1825,127
,당진군,,4172,6495,6155,5672,5095,4494,-,-,-,-,-,-,-,-,-,-
전북,,,39197,34677,50737,47539,41675,50266,36971,38854,46497,47483,46244,49900,59699,47115,60439,5093
,전주시,,18516,15409,21276,19083,18229,17898,15231,17104,20319,21164,22274,23754,30971,23331,26451,2532
,,완산구,10438,8930,12746,10547,10093,10680,6173,8888,11588,11188,9326,11396,13293,8664,14248,1871
,,덕진구,8078,6479,8530,8536,8136,7218,9058,8216,8731,9976,12948,12358,17678,14667,12203,661
