계약년월,계약일,시군구,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),거래금액(만원),층,건축년도,해제사유발생일
202012,16,세종특별자치시 반곡동,4121,2002,씨즈파크뷰,21.9063,8.92,"13,600",6,2019,
202012,16,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,26.5949,7.91,"9,900",6,2016,
202012,16,세종특별자치시 조치원읍 서창리,140,11,삼현빌라,48.53,37.3,"6,000",2,1989,
202012,16,세종특별자치시 조치원읍 신흥리,8,7,강람빌라,48.96,41,"4,000",1,1990,
202012,16,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"28,500",2,1984,20210210
202012,18,세종특별자치시 반곡동,4121,1002,세종펠리스,26.2699,14.45,"17,000",6,2020,
202012,22,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),52.182,39.68,"22,000",1,2015,
202012,22,세종특별자치시 금남면 용포리,148,4,금융주택(148-4),56.61,41.78,"7,900",4,1992,
202012,22,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,26.5949,7.91,"10,000",5,2016,
202012,22,세종특별자치시 조치원읍 번암리,74,0,로얄빌라,76.26,86.56,"8,500",4,1991,
202012,23,세종특별자치시 소담동,576,0,펠리체타워2,30.735,9.45,"11,800",7,2017,
202012,26,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,16.9849,5.05,"7,200",7,2016,
202012,26,세종특별자치시 보람동,744,0,스타힐타워Ⅱ,26.5949,7.69,"9,500",5,2016,
202012,27,세종특별자치시 소담동,575,0,퍼스트시티,24.52,7.71,"10,000",8,2016,
202012,28,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"9,500",5,2016,
202012,28,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,21.6349,6.44,"9,500",5,2016,
202012,28,세종특별자치시 연서면 월하리,618,1,삼풍,54.09,35.13,"5,500",1,1991,
202012,29,세종특별자치시 부강면 부강리,526,0,(526-0),64.82,121.64,"13,400",3,2012,
202012,29,세종특별자치시 연기면 연기리,601,2,수정다세대주택(1동),55.29,41.08,"4,200",1,1994,
